'5101','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','0','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','0','2','3','0','0','0','0','0','3','2','3','3','3','0','0','0','0','0'
'5101','0','3','3','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0'
'5101','0','8','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','0','9','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','0','12','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','0','13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','0','14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','1','0','3','0','1','0','2','0','0','2','2','3','0','0','0','0','0','0'
'5101','1','1','3','0','0','0','2','0','0','0','3','3','0','0','0','0','0','0'
'5101','1','2','3','1','0','0','2','1','3','2','3','3','3','0','0','0','0','1'
'5101','1','3','3','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0'
'5101','1','8','3','0','0','0','0','0','0','0','0','3','0','0','0','0','0','0'
'5101','1','9','3','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0'
'5101','1','12','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'5101','1','13','1','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0'
'5101','1','14','2','0','0','0','0','0','2','0','0','0','0','2','2','2','0','0'
