'14609','8','0','16','30','163','0','0','0','0','0','0'
'14609','12','0','1','1','101','0','0','1','309','0','0'
'14609','12','0','2','2','102','0','0','2','301','0','0'
'14609','12','0','3','3','103','0','0','3','302','0','0'
'14609','12','0','4','4','104','0','0','4','370','0','0'
'14609','12','0','5','5','105','0','0','5','371','0','0'
'14609','12','0','6','6','106','0','0','6','372','0','0'
'14609','12','0','7','7','107','0','0','7','373','0','0'
'14609','12','0','8','8','108','0','0','8','374','0','0'
'14609','12','0','9','9','109','0','0','9','375','0','0'
'14609','12','0','10','10','110','0','0','10','376','0','0'
'14609','12','0','11','11','170','0','0','11','377','0','0'
'14609','12','0','12','12','171','0','0','0','0','0','0'
'14609','12','0','13','13','172','0','0','0','0','0','0'
'14609','12','0','14','14','173','0','0','0','0','0','0'
'14609','12','0','15','15','174','0','0','15','378','0','0'
'14609','12','0','16','0','0','0','0','0','0','0','0'
'14609','13','0','1','1','101','0','0','0','0','0','0'
'14609','13','0','2','2','102','0','0','2','380','0','0'
'14609','13','0','3','3','103','0','0','0','0','0','0'
'14609','13','0','4','4','104','0','0','0','0','0','0'
'14609','13','0','5','5','105','0','0','0','0','0','0'
'14609','13','0','6','6','106','0','0','6','381','0','0'
'14609','13','0','7','7','107','0','0','0','0','0','0'
'14609','13','0','8','8','108','0','0','0','0','0','0'
'14609','13','0','9','9','109','0','0','0','0','0','0'
'14609','13','0','10','10','110','0','0','0','0','0','0'
'14609','13','0','11','11','181','0','0','11','382','0','0'
'14609','13','0','12','12','182','0','0','0','0','0','0'
'14609','13','0','13','13','183','0','0','0','0','0','0'
'14609','13','0','14','14','184','0','0','0','0','0','0'
'14609','13','0','15','15','185','0','0','15','378','0','0'
'14609','13','0','16','0','0','0','0','0','0','0','0'
'14609','14','0','1','1','101','0','0','16','380','0','0'
'14609','14','0','2','2','102','0','0','0','0','0','0'
'14609','14','0','3','3','103','0','0','0','0','0','0'
'14609','14','0','4','4','104','0','0','0','0','0','0'
'14609','14','0','5','5','105','0','0','0','0','0','0'
'14609','14','0','6','6','106','0','0','0','0','0','0'
'14609','14','0','7','7','107','0','0','0','0','0','0'
'14609','14','0','8','8','108','0','0','0','0','0','0'
'14609','14','0','9','9','109','0','0','0','0','0','0'
'14609','14','0','10','10','110','0','0','0','0','0','0'
'14609','14','0','11','11','0','0','0','0','0','0','0'
'14609','14','0','12','12','0','0','0','0','0','0','0'
'14609','14','0','13','13','183','0','0','0','0','0','0'
'14609','14','0','14','14','184','0','0','0','0','0','0'
'14609','14','0','15','15','0','0','0','0','0','0','0'
'14609','14','0','16','0','0','0','0','0','0','0','0'
'14609','18','0','1','1','101','0','0','0','0','0','0'
'14609','18','0','2','2','102','0','0','0','0','0','0'
'14609','18','0','3','3','103','0','0','0','0','0','0'
'14609','18','0','4','4','104','0','0','0','0','0','0'
'14609','18','0','5','5','105','0','0','0','0','0','0'
'14609','18','0','6','6','106','0','0','0','0','0','0'
'14609','18','0','7','7','107','0','0','0','0','0','0'
'14609','18','0','8','8','108','0','0','0','0','0','0'
'14609','18','0','9','9','109','0','0','0','0','0','0'
'14609','18','0','10','10','110','0','0','0','0','0','0'
'14609','18','0','11','0','0','0','0','0','0','0','0'
'14609','18','0','12','0','0','0','0','0','0','0','0'
'14609','18','0','13','13','190','0','0','0','0','0','0'
'14609','18','0','14','0','0','0','0','0','0','0','0'
'14609','18','0','15','15','181','0','0','0','0','0','0'
'14609','18','0','16','0','0','0','0','0','0','0','0'
'14609','21','0','1','1','101','0','0','16','380','0','0'
'14609','21','0','2','2','102','0','0','0','0','0','0'
'14609','21','0','3','3','103','0','0','0','0','0','0'
'14609','21','0','4','4','104','0','0','0','0','0','0'
'14609','21','0','5','5','105','0','0','0','0','0','0'
'14609','21','0','6','6','106','0','0','0','0','0','0'
'14609','21','0','7','7','107','0','0','0','0','0','0'
'14609','21','0','8','8','108','0','0','0','0','0','0'
'14609','21','0','9','9','109','0','0','0','0','0','0'
'14609','21','0','10','10','110','0','0','0','0','0','0'
'14609','21','0','11','11','0','0','0','0','0','0','0'
'14609','21','0','12','12','0','0','0','0','0','0','0'
'14609','21','0','13','13','183','0','0','0','0','0','0'
'14609','21','0','14','14','184','0','0','0','0','0','0'
'14609','21','0','15','15','0','0','0','0','0','0','0'
'14609','21','0','16','0','0','0','0','0','0','0','0'
'14609','22','0','1','1','101','175','0','0','0','0','0'
'14609','22','0','2','2','102','176','0','2','380','0','0'
'14609','22','0','3','3','103','177','0','0','0','0','0'
'14609','22','0','4','4','104','178','0','0','0','0','0'
'14609','22','0','5','5','105','0','0','0','0','0','0'
'14609','22','0','6','6','106','0','0','6','381','0','0'
'14609','22','0','7','7','107','0','0','0','0','0','0'
'14609','22','0','8','8','108','0','0','0','0','0','0'
'14609','22','0','9','9','109','0','0','0','0','0','0'
'14609','22','0','10','10','110','0','0','0','0','0','0'
'14609','22','0','11','11','181','186','0','11','382','0','0'
'14609','22','0','12','12','182','187','0','0','0','0','0'
'14609','22','0','13','13','183','188','0','0','0','0','0'
'14609','22','0','14','14','184','189','0','0','0','0','0'
'14609','22','0','15','15','185','0','0','15','378','0','0'
'14609','22','0','16','0','0','0','0','0','0','0','0'
'14609','23','0','1','1','101','175','0','0','0','0','0'
'14609','23','0','2','2','102','176','0','2','380','0','0'
'14609','23','0','3','3','103','177','0','0','0','0','0'
'14609','23','0','4','4','104','178','0','0','0','0','0'
'14609','23','0','5','5','105','0','0','0','0','0','0'
'14609','23','0','6','6','106','0','0','6','381','0','0'
'14609','23','0','7','7','107','0','0','0','0','0','0'
'14609','23','0','8','8','108','0','0','0','0','0','0'
'14609','23','0','9','9','109','0','0','0','0','0','0'
'14609','23','0','10','10','110','0','0','0','0','0','0'
'14609','23','0','11','11','181','186','0','11','382','0','0'
'14609','23','0','12','12','182','187','0','0','0','0','0'
'14609','23','0','13','13','183','188','0','0','0','0','0'
'14609','23','0','14','14','184','189','0','0','0','0','0'
'14609','23','0','15','15','185','0','0','15','378','0','0'
'14609','23','0','16','0','0','0','0','0','0','0','0'
'14609','24','0','1','33','101','231','0','48','301','401','0'
'14609','24','0','2','34','102','232','0','49','302','402','0'
'14609','24','0','3','35','103','203','0','50','303','403','0'
'14609','24','0','4','36','104','234','0','51','304','404','0'
'14609','24','0','5','37','105','205','0','52','305','405','325'
'14609','24','0','6','38','106','236','0','53','306','406','0'
'14609','24','0','7','39','107','237','0','54','307','407','0'
'14609','24','0','8','40','108','238','0','55','308','408','0'
'14609','24','0','9','41','109','239','0','56','319','419','0'
'14609','24','0','10','42','110','0','0','57','320','420','0'
'14609','24','0','11','43','111','241','0','58','0','0','0'
'14609','24','0','12','44','132','242','0','59','0','0','0'
'14609','24','0','13','45','113','243','0','60','0','0','0'
'14609','24','0','14','46','124','244','0','61','314','0','0'
'14609','24','0','15','47','115','245','0','62','0','0','0'
'14609','24','0','16','0','0','0','0','0','0','0','0'
'14609','24','1','1','33','101','231','0','48','301','401','0'
'14609','24','1','2','34','102','232','0','49','302','402','0'
'14609','24','1','3','35','103','203','0','50','303','403','0'
'14609','24','1','4','36','104','234','0','51','304','404','0'
'14609','24','1','5','37','105','205','0','52','305','405','325'
'14609','24','1','6','38','106','236','0','53','306','406','0'
'14609','24','1','7','39','107','237','0','54','307','407','0'
'14609','24','1','8','40','108','238','0','55','308','408','0'
'14609','24','1','9','41','109','239','0','56','319','419','0'
'14609','24','1','10','42','110','0','0','57','320','420','0'
'14609','24','1','11','43','111','241','0','58','0','0','0'
'14609','24','1','12','44','132','242','0','59','0','0','0'
'14609','24','1','13','45','113','243','0','60','0','0','0'
'14609','24','1','14','46','124','244','0','61','314','0','0'
'14609','24','1','15','47','115','245','0','62','0','0','0'
'14609','24','1','16','0','0','0','0','0','0','0','0'
'14609','44','0','1','33','101','201','0','48','301','401','0'
'14609','44','0','2','34','102','202','0','49','302','402','0'
'14609','44','0','3','35','103','203','0','50','303','403','0'
'14609','44','0','4','36','104','204','0','51','304','404','0'
'14609','44','0','5','37','105','205','0','52','305','405','325'
'14609','44','0','6','38','106','206','0','53','306','406','0'
'14609','44','0','7','39','107','207','0','54','307','407','0'
'14609','44','0','8','40','108','0','0','55','308','408','0'
'14609','44','0','9','41','109','0','0','56','309','409','0'
'14609','44','0','10','42','110','0','0','57','310','410','0'
'14609','44','0','11','43','111','211','0','58','0','0','0'
'14609','44','0','12','44','132','212','112','59','0','0','0'
'14609','44','0','13','45','113','213','0','60','0','0','0'
'14609','44','0','14','46','0','214','0','61','0','0','0'
'14609','44','0','15','47','115','0','0','62','0','0','0'
'14609','44','0','16','0','0','0','0','0','0','0','0'
'14609','45','0','1','18','101','201','0','48','301','401','0'
'14609','45','0','2','19','102','202','0','49','302','402','0'
'14609','45','0','3','20','103','203','0','50','303','403','0'
'14609','45','0','4','21','104','204','0','51','304','404','0'
'14609','45','0','5','22','105','205','0','52','305','405','325'
'14609','45','0','6','23','106','206','0','53','306','406','0'
'14609','45','0','7','24','107','207','0','54','307','407','0'
'14609','45','0','8','25','108','0','0','55','308','408','0'
'14609','45','0','9','26','109','0','0','56','309','409','0'
'14609','45','0','10','17','110','0','0','57','310','410','0'
'14609','45','0','11','43','111','211','0','58','0','0','0'
'14609','45','0','12','44','132','212','112','59','0','0','0'
'14609','45','0','13','45','113','213','0','60','0','0','0'
'14609','45','0','14','46','0','214','0','61','0','0','0'
'14609','45','0','15','47','115','0','0','62','0','0','0'
'14609','45','0','16','0','0','0','0','0','0','0','0'
