'30000','0','0','1','1','1','1','1','1','1','0','15','20','300','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','2','1','1','13','13','1','1','0','15','20','150','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','3','1','1','5','5','1','1','0','15','20','50','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','4','1','1','13','5','1','1','2','15','100','150','200','150','160','230','0','0','0','0','10','0'
'30000','0','0','5','1','1','13','13','0','1','0','15','500','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','6','0','1','1','1','0','1','0','15','20','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','7','1','1','9','9','0','1','0','15','20','190','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','8','1','1','9','9','1','1','0','15','20','200','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','9','1','1','13','13','0','1','0','15','2000','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','10','1','1','9','1','1','1','1','15','110','150','190','0','0','0','0','0','0','0','0','0'
'30000','0','0','12','1','1','9','9','0','1','0','15','20','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','13','1','1','5','13','1','1','1','15','110','150','190','0','300','0','0','0','0','0','0','0'
'30000','0','0','14','1','1','9','1','2','1','2','15','190','2000','0','0','2000','0','0','0','0','0','0','0'
'30000','0','0','34','1','1','9','9','0','1','0','15','500','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','42','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','0','43','1','1','5','13','1','1','1','15','110','150','190','0','0','0','0','0','0','0','0','0'
'30000','0','0','46','1','1','9','9','1','1','0','15','2000','200','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','1','1','1','1','1','1','1','0','15','20','300','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','2','1','1','13','13','1','1','0','15','20','150','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','3','1','1','5','5','1','1','0','15','20','50','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','4','1','1','13','5','1','1','2','15','100','150','200','150','160','230','0','0','0','0','10','0'
'30000','0','1','5','1','1','13','13','0','1','0','15','500','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','6','1','1','1','1','0','1','0','15','20','0','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','7','1','1','9','9','0','1','0','15','20','190','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','8','1','1','9','9','1','1','0','15','20','200','0','0','0','0','0','0','0','0','0','0'
'30000','0','1','9','1','1','13','13','0','1','0','15','2000','0','0','0','0','0','0','0','0','0','0','0'
