'33627','4','0','0','0','5','30','0','0','0','0','0','0','18','30','18','30','30','0','0','0','132','0','0','0','0','0','0','0','0','0'
'33627','4','0','1','0','5','40','200','0','0','200','0','0','18','30','306','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','4','1','0','0','5','30','0','0','0','0','0','0','18','30','18','30','30','0','0','0','132','0','0','0','0','0','0','0','0','0'
'33627','4','1','1','0','5','40','200','0','0','200','0','0','18','30','303','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','7','0','0','0','0','0','0','0','0','0','0','0','30','500','2000','2000','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','7','0','1','0','0','0','0','0','0','0','0','0','30','600','2000','2000','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','8','0','0','0','5','20','70','0','0','70','0','0','30','700','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','8','0','1','0','5','0','0','0','0','0','0','0','30','120','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','12','0','0','0','5','40','50','135','1','20','0','0','4','3800','70','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','12','0','1','0','5','40','50','135','1','20','0','0','200','70','300','301','3000','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','13','0','0','0','5','40','50','200','2','50','0','0','10','300','3','2','1','3','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','13','0','1','0','5','40','100','200','2','0','300','2','5','50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','14','0','0','0','5','0','40','0','2','0','0','0','700','500','100','10','50','2800','50','1200','1','1','2','1','3','0','0','0','0','0'
'33627','14','0','1','0','5','0','250','60','2','0','0','0','1000','200','300','500','11','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','18','0','0','0','5','0','68','0','0','68','0','0','100','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','18','0','1','0','5','0','0','135','2','0','135','2','2000','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','21','0','0','0','5','0','40','0','2','0','0','0','700','500','90','10','50','0','0','0','1','1','2','0','0','0','0','0','0','0'
'33627','22','0','0','0','5','40','50','200','2','50','0','0','10','300','3','2','1','3','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','22','0','1','0','5','40','100','200','2','0','300','2','5','50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','23','0','0','0','5','40','50','200','2','50','0','0','10','300','3','2','1','3','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','23','0','1','0','5','40','100','200','2','0','300','2','5','50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','25','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','25','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','29','0','0','0','0','0','2000','0','500','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','37','0','0','0','0','0','750','0','200','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','37','1','0','0','0','0','750','0','200','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','37','2','0','0','0','0','4000','0','200','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'33627','37','3','0','0','0','0','2000','0','200','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
