'24150','21','2','2','(b bit=1) with FRLS sig. (used on CGRP)','13','0','13','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','21','3','0','(b bit=1) variant','13','0','13','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','21','3','1','(b bit=1) variant','13','0','13','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','21','3','2','(b bit=1) variant','13','0','13','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','22','0','0','basic variant','13','0','13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','22','0','1','basic variant','13','0','13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','22','0','2','basic variant','13','0','13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','23','0','0','basic variant (free state AB=00)','1','0','1','2','8','8','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','23','0','1','basic variant (free state AB=00)','1','0','1','2','8','8','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','23','0','2','basic variant (free state AB=00)','1','0','1','2','8','8','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','23','1','0','(b bit=1) variant (free state AB=01)','5','0','1','2','8','8','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','23','1','1','(b bit=1) variant (free state AB=01)','5','0','1','2','8','8','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','23','1','2','(b bit=1) variant (free state AB=01)','5','0','1','2','8','8','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','24','0','0','basic variant','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','24','0','1','basic variant','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','24','0','2','basic variant','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','25','0','0','basic variant','64','0','191','4','240','63','127','191','255','0','0','0','0','0','0','0','0','0'
'24150','25','0','1','basic variant','64','0','191','4','240','63','127','191','255','0','0','0','0','0','0','0','0','0'
'24150','25','0','2','basic variant','64','0','191','4','240','63','127','191','255','0','0','0','0','0','0','0','0','0'
'24150','26','0','0','basic variant','13','0','9','4','15','1','5','9','13','0','0','0','0','0','0','0','0','0'
'24150','26','0','1','basic variant','9','0','13','4','15','1','5','9','13','0','0','0','0','0','0','0','0','0'
'24150','26','0','2','basic variant','9','0','9','4','15','1','5','9','13','0','0','0','0','0','0','0','0','0'
'24150','27','0','0','basic variant (free state AB=10)','9','0','9','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','27','0','1','basic variant (free state AB=10)','9','0','9','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','27','0','2','basic variant (free state AB=10)','9','0','9','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','27','1','0','(b bit=1) variant (free state AB=11)','13','0','9','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','27','1','1','(b bit=1) variant (free state AB=11)','13','0','9','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','27','1','2','(b bit=1) variant (free state AB=11)','13','0','9','2','8','0','8','0','0','0','0','0','0','0','0','0','0','0'
'24150','28','0','0','basic variant','9','0','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','28','0','1','basic variant','9','0','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','28','0','2','basic variant','9','0','9','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0'
'24150','29','0','0','basic variant','9','0','9','4','15','3','5','6','9','0','0','0','0','0','1','0','0','0'
'24150','29','0','1','basic variant','9','0','9','4','15','3','5','6','9','0','0','0','0','0','1','0','0','0'
'24150','29','0','2','basic variant','9','0','9','4','15','3','5','6','9','0','0','0','0','0','1','0','0','0'
'24150','30','0','0','basic variant','0','8','255','4','28','20','24','0','28','0','0','0','3','0','0','0','0','0'
'24150','30','0','1','basic variant','0','8','255','4','28','20','24','0','28','0','0','0','3','0','0','0','0','0'
'24150','30','0','2','basic variant','0','8','255','4','28','20','24','0','28','0','0','0','3','0','0','0','0','0'
'24150','31','0','0','basic variant','9','0','9','4','15','3','5','6','9','0','0','0','0','0','0','0','0','0'
'24150','31','0','1','basic variant','9','0','9','4','15','3','5','6','9','0','0','0','0','0','0','0','0','0'
'24150','31','0','2','basic variant','9','0','9','4','15','3','5','6','9','0','0','0','0','0','0','0','0','0'
