'24150','0','1','1','0','0','0'
'24150','0','1','2','0','0','0'
'24150','0','3','3','1','8','0'
'24150','0','4','4','1','10','0'
'24150','0','5','5','1','12','0'
'24150','0','6','6','1','16','0'
'24150','0','11','10','1','26','0'
'24150','0','12','11','1','28','0'
'24150','1','1','1','0','0','0'
'24150','1','1','2','0','0','0'
'24150','1','3','3','1','8','0'
'24150','1','4','4','1','11','0'
'24150','2','1','1','0','0','0'
'24150','2','1','2','0','0','0'
'24150','2','2','2','1','25','0'
'24150','2','3','3','1','8','0'
'24150','2','4','4','1','10','0'
'24150','3','1','1','0','0','0'
'24150','3','1','2','0','0','0'
'24150','3','2','2','1','25','0'
'24150','3','3','3','1','8','0'
'24150','3','4','4','1','11','0'
'24150','4','1','1','0','0','0'
'24150','4','1','2','0','0','0'
'24150','4','3','3','1','8','0'
'24150','4','4','4','1','10','0'
'24150','4','5','5','1','12','0'
'24150','4','6','6','1','16','0'
'24150','4','8','7','1','22','0'
'24150','5','1','1','0','0','0'
'24150','5','1','2','0','0','0'
'24150','5','1','8','1','24','0'
'24150','5','3','3','1','8','0'
'24150','5','4','4','1','10','0'
'24150','5','5','5','1','12','0'
'24150','5','6','6','1','16','0'
'24150','5','9','1','1','24','0'
'24150','5','9','2','1','24','0'
'24150','5','10','9','0','0','0'
'24150','5','11','10','1','26','0'
